시점,참외,오이,호박,배추,시금치,상추,무,고추,파,마늘
2012,2400,6287,4102,5431,1541,1976,4336,145,2300,713
2013,2500,6843,4500,5425,1557,2013,4450,149,2313,715
2014,2500,7063,4284,5447,1663,1900,4404,150,2296,718
2015,2626,7790,4380,5360,1590,1940,4460,150,2400,690
2016,2526,6975,4168,6220,1643,1105,4708,1614,3038,691
2017,2526,5139,4879,6015,1653,1203,4828,1611,2267,647
2018,2526,5173,4882,6030,1653,1202,5021,1650,2210,647
2019,2569,5234,3922,6040,1638,1186,4764,1632,2210,647
2020,2567,5209,3791,5995,1538,1134,4568,2011,1823,634
