시점,미곡,맥류,잡곡,두류,서류
2012,195,264,148,116,367
2013,284,280,96,206,420
2014,292,272,128,145,427
2015,347,282,113,166,399
2016,282,219,80,166,308
2017,271,284,117,192,382
2018,236,212,97,144,384
2019,222,279,228,102,393
2020,163,241,194,106,413
