시점,미곡,맥류,잡곡,두류,서류
2012,478,205,431,136,2853
2013,437,263,471,221,2599
2014,490,254,457,215,2662
2015,501,249,465,181,2689
2016,449,139,374,134,2531
2017,559,142,507,160,2286
2018,513,300,481,226,2518
2019,488,164,508,199,2466
2020,493,50,679,389,2149
