시점,참외,오이,호박,배추,시금치,상추,무,고추,파,마늘
2012,4779,9667,3828,3830,2078,3635,4649,240,2182,1318
2013,4380,7259,2688,3649,2078,3860,6975,305,2243,1200
2014,4710,6645,3255,4480,1400,2315,7418,261,2187,1566
2015,3790,8216,2210,7875,1736,2923,4501,248,1900,1537
2016,4038,8172,2200,6557,1563,2724,6449,335,2298,2034
2017,4038,8734,2564,6142,1502,2531,6977,328,2298,1374
2018,4042,6473,3020,6668,1889,2232,3396,298,2455,1204
2019,3790,8054,4836,7904,1508,3131,4482,250,6645,1537
2020,3784,7943,5140,7923,1540,2397,4459,250,2129,1536
